Brain network from Boas2014 image stack via Amira HxSpatialGraph
610 610 660 box dimensions in microns
32 32 32 number of tissue points in x,y,z directions
10	outer bound distance
100	max. segment length
6		maximum number of segments per node
4870	total number of segments
SegName Type StartNode EndNode Diam   Flow[nl/min]    Hd
563 5 2877 214 5.591216 0.000000 0.400000
565 5 140 215 5.480757 0.000000 0.400000
567 5 214 216 6.981123 0.000000 0.400000
569 5 181 216 8.726657 0.000000 0.400000
571 5 181 217 10.301299 0.000000 0.400000
573 5 169 218 4.106830 0.000000 0.400000
575 5 113 2890 4.648701 0.000000 0.400000
576 5 2890 2891 4.648701 0.000000 0.400000
577 5 2891 219 4.648701 0.000000 0.400000
579 5 113 203 4.505929 0.000000 0.400000
581 5 220 2896 5.533351 0.000000 0.400000
582 5 2896 221 5.533351 0.000000 0.400000
584 5 220 222 5.113780 0.000000 0.400000
586 5 220 116 7.860411 0.000000 0.400000
588 5 164 223 13.791719 0.000000 0.400000
590 5 62 224 5.782270 0.000000 0.400000
592 5 62 2907 5.973536 0.000000 0.400000
593 5 2907 174 5.973536 0.000000 0.400000
595 5 147 2910 6.164424 0.000000 0.400000
596 5 2910 225 6.164424 0.000000 0.400000
598 5 147 226 6.859050 0.000000 0.400000
600 5 176 227 5.925135 0.000000 0.400000
602 5 176 228 8.057543 0.000000 0.400000
604 5 208 229 4.519126 0.000000 0.400000
606 5 194 230 6.760272 0.000000 0.400000
608 5 194 231 7.008049 0.000000 0.400000
610 5 180 2925 5.297562 0.000000 0.400000
611 5 2925 232 5.297562 0.000000 0.400000
613 5 128 233 6.535982 0.000000 0.400000
615 5 128 196 6.006257 0.000000 0.400000
617 5 214 234 6.875529 0.000000 0.400000
619 5 216 235 4.000000 0.000000 0.400000
621 5 182 172 6.009895 0.000000 0.400000
623 5 203 2938 5.186677 0.000000 0.400000
624 5 2938 236 5.186677 0.000000 0.400000
626 5 158 183 5.717821 0.000000 0.400000
628 5 143 2943 5.764938 0.000000 0.400000
629 5 2943 237 5.764938 0.000000 0.400000
631 5 184 238 4.833891 0.000000 0.400000
633 5 184 2948 5.576166 0.000000 0.400000
634 5 2948 185 5.576166 0.000000 0.400000
636 5 239 2951 4.174305 0.000000 0.400000
637 5 2951 240 4.174305 0.000000 0.400000
639 5 239 222 4.000000 0.000000 0.400000
641 5 228 2956 4.746286 0.000000 0.400000
642 5 2956 2957 4.746286 0.000000 0.400000
643 5 2957 2958 4.746286 0.000000 0.400000
644 5 2958 241 4.746286 0.000000 0.400000
646 5 152 2961 6.195400 0.000000 0.400000
647 5 2961 242 6.195400 0.000000 0.400000
649 5 152 243 4.000000 0.000000 0.400000
651 5 206 244 6.360519 0.000000 0.400000
653 5 206 245 14.167050 0.000000 0.400000
655 5 126 246 5.150936 0.000000 0.400000
657 5 126 247 5.458431 0.000000 0.400000
659 5 179 232 6.831267 0.000000 0.400000
661 5 182 2976 5.089699 0.000000 0.400000
662 5 2976 248 5.089699 0.000000 0.400000
664 5 16 2979 6.195075 0.000000 0.400000
665 5 2979 2980 6.195075 0.000000 0.400000
666 5 2980 249 6.195075 0.000000 0.400000
668 5 16 2983 5.304601 0.000000 0.400000
669 5 2983 215 5.304601 0.000000 0.400000
671 5 201 250 4.000000 0.000000 0.400000
673 5 158 202 5.248788 0.000000 0.400000
675 5 186 252 7.482414 0.000000 0.400000
677 5 186 2992 5.848023 0.000000 0.400000
678 5 2992 193 5.848023 0.000000 0.400000
680 5 253 254 18.728949 0.000000 0.400000
682 5 253 2997 7.932562 0.000000 0.400000
683 5 2997 255 7.932562 0.000000 0.400000
685 5 253 256 14.857848 0.000000 0.400000
687 5 228 257 5.974640 0.000000 0.400000
689 5 188 258 15.399143 0.000000 0.400000
691 5 188 3006 17.224052 0.000000 0.400000
692 5 3006 259 17.224052 0.000000 0.400000
694 5 247 3009 5.044354 0.000000 0.400000
695 5 3009 3010 5.044354 0.000000 0.400000
696 5 3010 260 5.044354 0.000000 0.400000
698 5 118 3013 5.881063 0.000000 0.400000
699 5 3013 261 5.881063 0.000000 0.400000
701 5 118 3016 4.567581 0.000000 0.400000
702 5 3016 262 4.567581 0.000000 0.400000
704 5 229 263 5.500051 0.000000 0.400000
706 5 233 3021 5.922782 0.000000 0.400000
707 5 3021 264 5.922782 0.000000 0.400000
709 5 233 3024 5.655732 0.000000 0.400000
710 5 3024 265 5.655732 0.000000 0.400000
712 5 231 266 6.299598 0.000000 0.400000
714 5 231 267 6.106022 0.000000 0.400000
716 5 234 178 5.922862 0.000000 0.400000
718 5 234 235 4.000000 0.000000 0.400000
720 5 234 235 4.000000 0.000000 0.400000
722 5 89 3037 5.276083 0.000000 0.400000
723 5 3037 3038 5.276083 0.000000 0.400000
724 5 3038 268 5.276083 0.000000 0.400000
726 5 89 3041 5.048128 0.000000 0.400000
727 5 3041 269 5.048128 0.000000 0.400000
729 5 172 3044 5.419402 0.000000 0.400000
730 5 3044 3045 5.419402 0.000000 0.400000
731 5 3045 3046 5.419402 0.000000 0.400000
732 5 3046 240 5.419402 0.000000 0.400000
734 5 183 270 5.058889 0.000000 0.400000
736 5 61 271 5.559994 0.000000 0.400000
738 5 255 272 10.791038 0.000000 0.400000
740 5 273 3055 13.655074 0.000000 0.400000
741 5 3055 274 13.655074 0.000000 0.400000
743 5 273 275 19.298546 0.000000 0.400000
745 5 205 276 20.186632 0.000000 0.400000
747 5 247 277 5.202310 0.000000 0.400000
749 5 258 278 6.843140 0.000000 0.400000
751 5 198 230 6.415908 0.000000 0.400000
753 5 199 3068 6.117274 0.000000 0.400000
754 5 3068 3069 6.117274 0.000000 0.400000
755 5 3069 3070 6.117274 0.000000 0.400000
756 5 3070 279 6.117274 0.000000 0.400000
758 5 266 3073 5.611800 0.000000 0.400000
759 5 3073 263 5.611800 0.000000 0.400000
761 5 266 3076 4.381510 0.000000 0.400000
762 5 3076 3077 4.381510 0.000000 0.400000
763 5 3077 280 4.381510 0.000000 0.400000
765 5 281 3080 5.365704 0.000000 0.400000
766 5 3080 3081 5.365704 0.000000 0.400000
767 5 3081 282 5.365704 0.000000 0.400000
769 5 281 139 6.181967 0.000000 0.400000
771 5 281 283 5.424603 0.000000 0.400000
773 5 218 3088 6.174720 0.000000 0.400000
774 5 3088 196 6.174720 0.000000 0.400000
776 5 218 3091 6.123796 0.000000 0.400000
777 5 3091 80 6.123796 0.000000 0.400000
779 5 185 284 5.064178 0.000000 0.400000
781 5 6 3096 5.912664 0.000000 0.400000
782 5 3096 285 5.912664 0.000000 0.400000
784 5 6 3099 7.107753 0.000000 0.400000
785 5 3099 3100 7.107753 0.000000 0.400000
786 5 3100 286 7.107753 0.000000 0.400000
788 5 225 3103 7.161271 0.000000 0.400000
789 5 3103 3104 7.161271 0.000000 0.400000
790 5 3104 288 7.161271 0.000000 0.400000
792 5 225 192 11.154901 0.000000 0.400000
794 5 272 3109 6.402515 0.000000 0.400000
795 5 3109 3110 6.402515 0.000000 0.400000
796 5 3110 226 6.402515 0.000000 0.400000
798 5 272 289 8.895672 0.000000 0.400000
800 5 255 3115 5.986608 0.000000 0.400000
801 5 3115 3116 5.986608 0.000000 0.400000
802 5 3116 3117 5.986608 0.000000 0.400000
803 5 3117 290 5.986608 0.000000 0.400000
805 5 273 254 17.936375 0.000000 0.400000
807 5 149 3122 4.000000 0.000000 0.400000
808 5 3122 213 4.000000 0.000000 0.400000
810 5 149 291 4.000000 0.000000 0.400000
812 5 178 293 4.549923 0.000000 0.400000
814 5 217 3129 6.126224 0.000000 0.400000
815 5 3129 3130 6.126224 0.000000 0.400000
816 5 3130 294 6.126224 0.000000 0.400000
818 5 217 295 7.866698 0.000000 0.400000
820 5 283 3135 5.437284 0.000000 0.400000
821 5 3135 296 5.437284 0.000000 0.400000
823 5 204 3138 4.336473 0.000000 0.400000
824 5 3138 297 4.336473 0.000000 0.400000
826 5 204 251 4.000000 0.000000 0.400000
828 5 298 3143 4.835457 0.000000 0.400000
829 5 3143 3144 4.835457 0.000000 0.400000
830 5 3144 299 4.835457 0.000000 0.400000
832 5 273 300 17.676975 0.000000 0.400000
834 5 211 292 6.535747 0.000000 0.400000
836 5 211 263 7.668874 0.000000 0.400000
838 5 301 3153 4.831518 0.000000 0.400000
839 5 3153 302 4.831518 0.000000 0.400000
841 5 283 282 4.587217 0.000000 0.400000
843 5 240 271 6.451576 0.000000 0.400000
845 5 161 3160 6.017601 0.000000 0.400000
846 5 3160 3161 6.017601 0.000000 0.400000
847 5 3161 303 6.017601 0.000000 0.400000
849 5 161 3164 5.920796 0.000000 0.400000
850 5 3164 304 5.920796 0.000000 0.400000
852 5 291 260 5.850315 0.000000 0.400000
854 5 265 3169 4.749414 0.000000 0.400000
855 5 3169 305 4.749414 0.000000 0.400000
857 5 265 189 4.951084 0.000000 0.400000
859 5 226 307 5.795388 0.000000 0.400000
861 5 307 308 5.274830 0.000000 0.400000
863 5 276 309 21.218182 0.000000 0.400000
865 5 291 3180 5.474909 0.000000 0.400000
866 5 3180 3181 5.474909 0.000000 0.400000
867 5 3181 3182 5.474909 0.000000 0.400000
868 5 3182 310 5.474909 0.000000 0.400000
870 5 134 3185 4.900824 0.000000 0.400000
871 5 3185 311 4.900824 0.000000 0.400000
873 5 134 312 5.897691 0.000000 0.400000
875 5 292 3190 4.957148 0.000000 0.400000
876 5 3190 313 4.957148 0.000000 0.400000
878 5 189 302 8.164537 0.000000 0.400000
880 5 202 314 4.623795 0.000000 0.400000
882 5 315 3197 5.221386 0.000000 0.400000
883 5 3197 3198 5.221386 0.000000 0.400000
884 5 3198 316 5.221386 0.000000 0.400000
886 5 192 317 17.552773 0.000000 0.400000
888 5 226 288 6.391496 0.000000 0.400000
890 5 276 318 8.811640 0.000000 0.400000
892 5 319 320 6.008309 0.000000 0.400000
894 5 319 232 6.655922 0.000000 0.400000
896 5 139 321 6.347828 0.000000 0.400000
898 5 159 322 5.226665 0.000000 0.400000
900 5 323 324 4.495580 0.000000 0.400000
902 5 116 284 10.315161 0.000000 0.400000
904 5 116 325 19.594702 0.000000 0.400000
906 5 171 3221 6.960281 0.000000 0.400000
907 5 3221 326 6.960281 0.000000 0.400000
909 5 171 3224 12.710603 0.000000 0.400000
910 5 3224 327 12.710603 0.000000 0.400000
912 5 245 328 6.020716 0.000000 0.400000
914 5 245 244 9.519927 0.000000 0.400000
916 5 329 3231 5.620050 0.000000 0.400000
917 5 3231 330 5.620050 0.000000 0.400000
919 5 323 3234 4.398807 0.000000 0.400000
920 5 3234 332 4.398807 0.000000 0.400000
922 5 275 3237 18.593426 0.000000 0.400000
923 5 3237 333 18.593426 0.000000 0.400000
925 5 309 334 20.144405 0.000000 0.400000
